national_team_id;national_team_name;team_group;group_position
6303;Mexico; A;1
3806;South Africa; A;2
3589;Korea, South; A;
3445;Czech Republic; A;
3510;Canada; B;2
3446;Bosnia-Herzegovina; B;3
14162;Qatar; B;
3384;Switzerland; B;1
3439;Brazil; C;1
3575;Morocco; C;2
3590;Haiti; C;
3380;Scotland; C;
3505;United States; D;1
3581;Paraguay; D;3
3433;Australia; D;2
3381;Türkiye; D;
3262;Germany; E;1
3671;Jamaica; E;
3444;Nigeria; E;2
5750;Ecuador; E;3
3379;Netherlands; F;1
3435;Japan; F;2
3557;Sweden; F;3
3670;Tunisia; F;
3382;Belgium; G;1
3672;Egypt; G;2
3582;Iran; G;
9171;New Zealand; G;
3375;Spain; H;1
13497;Uganda; H;2
3807;Saudi Arabia; H;
3449;Uruguay; H;
3377;France; I;1
3499;Senegal; I;3
3560;Iraq; I;
3440;Norway; I;2
3437;Argentina; J;1
3614;Algeria; J;3
3383;Austria; J;2
15737;Jordan; J;
3300;Portugal; K;2
13941;Ethiopia; K;3
3563;Uzbekistan; K;
3816;Colombia; K;1
3299;England; L;1
3556;Croatia; L;2
3577;Panama; L;
3441;Ghana; L;3
